yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1130,26.1551249,50.5344606,,
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2342,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,20718,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,130360,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1003618,26.1551249,50.5344606,,
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,138134,26.1551249,50.5344606,,
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,108878,26.1551249,50.5344606,,
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,61843,26.1551249,50.5344606,,
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,449248,26.1551249,50.5344606,,
2019,2019,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,88586,26.1551249,50.5344606,,
