yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2012,2012,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,4937
2012,2012,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,86279
2012,2012,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,45675
2012,2012,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1361854
