yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,3141,33.87,35.84,-16.85099460447687,133.4130365630627
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,923,33.87,35.84,39.89317229901691,61.060280637304274
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,13813,33.87,35.84,51.67568633314729,27.673469819741847
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,12789,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,15742,33.87,35.84,17.925141963241547,-78.01492950057497
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2135,33.87,35.84,43.897683433510366,-100.08947125585888
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,28853,33.87,35.84,59.36075159783851,25.01346951967388
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Polynesia,Oceania,8003,33.87,35.84,-5.109184731250752,167.40343615892436
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,37689,33.87,35.84,25.499703063807168,75.5024015339642
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,10018,33.87,35.84,40.12399607988535,20.742583178432696
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,287437,33.87,35.84,6.06272746187266,22.727528470146083
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,277,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,172059,33.87,35.84,26.42921218083572,52.86847103284948
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,5562,33.87,35.84,47.92172048214207,7.866753258497997
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,806185,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,4975,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,28564,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,13335,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,55343,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,5596,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,3299,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,10600,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,20781,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,43051,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,9311,33.87,35.84,,
2009,2009,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,2344,33.87,35.84,,
