yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,26941,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1750756,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,34142,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,192198,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,431456,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3789746,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,884089,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,208797,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,4072053,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,9152,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,379,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,6050,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,463294,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,3512040,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,25198878,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,5273,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,46010,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,2599,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,629,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,232998,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,4540867,29.2733964,47.4979476,,
2014,2014,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,2785752,29.2733964,47.4979476,,
