yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,287557
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,189195
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,46658
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,3776810
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,83565
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,466265
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,17987
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,17511
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4875651
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,6631
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,131753
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,719948
2006,2006,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,11282158
