yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,158780,25.3336984,51.2295295,,
2011,2011,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,3984,25.3336984,51.2295295,,
2011,2011,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,20490,25.3336984,51.2295295,,
2011,2011,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,26073,25.3336984,51.2295295,,
2011,2011,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,15879,25.3336984,51.2295295,,
2011,2011,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,53568,25.3336984,51.2295295,,
