yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,89,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,384,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,559,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,5592,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,746,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,World,World,2084048,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials, Afghanistan, Afghanistan,138,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,67543,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,104860,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,28485,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,595571,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,1202774,29.2733964,47.4979476,,
2008,2008,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,77307,29.2733964,47.4979476,,
