yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1766,,,-36.8535712,174.7456809
2019,2019,Export,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,177,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,8736770,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7609743,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7257242,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7619729,,,-36.8535712,174.7456809
2016,2016,Export,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,211712490,,,-36.8535712,174.7456809
2017,2017,Export,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,201884912,,,-36.8535712,174.7456809
2018,2018,Export,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,182452633,,,-36.8535712,174.7456809
2019,2019,Export,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,158797330,,,-36.8535712,174.7456809
2021,2021,Export,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,253564878,,,-36.8535712,174.7456809
2016,2016,Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2362452,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3344002,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3417653,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4439256,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,5919900,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,8547988,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,260760682,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,216585639,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,213319910,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,228089463,,,-36.8535712,174.7456809
2015,2015,Export,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1059066387,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Export,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1129178923,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Export,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1099749743,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Export,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1057899998,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1009157956,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Export,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2080808276,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Yemen,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,125284,,,-36.8535712,174.7456809
