yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,8166649,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Qatar,Bahrain,64,Footwear; gaiters and the like; parts of such articles,346756,25.3336984,51.2295295,26.1551249,50.5344606
2016,2016,Export,Qatar,China,64,Footwear; gaiters and the like; parts of such articles,58536,25.3336984,51.2295295,35.000074,104.999927
2016,2016,Export,Qatar,France,64,Footwear; gaiters and the like; parts of such articles,100695,25.3336984,51.2295295,46.603354,1.8883335
2016,2016,Export,Qatar,Italy,64,Footwear; gaiters and the like; parts of such articles,260850,25.3336984,51.2295295,42.6384261,12.674297
2016,2016,Export,Qatar,Kuwait,64,Footwear; gaiters and the like; parts of such articles,709891,25.3336984,51.2295295,29.2733964,47.4979476
2016,2016,Export,Qatar,Lebanon,64,Footwear; gaiters and the like; parts of such articles,71931,25.3336984,51.2295295,33.8750629,35.843409
2016,2016,Export,Qatar,Oman,64,Footwear; gaiters and the like; parts of such articles,109875,25.3336984,51.2295295,21.0000287,57.0036901
2016,2016,Export,Qatar,Portugal,64,Footwear; gaiters and the like; parts of such articles,24558,25.3336984,51.2295295,39.6621648,-8.1353519
2016,2016,Export,Qatar,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,302700,25.3336984,51.2295295,25.6242618,42.3528328
2016,2016,Export,Qatar,Spain,64,Footwear; gaiters and the like; parts of such articles,62726,25.3336984,51.2295295,39.3260685,-4.8379791
2016,2016,Export,Qatar,Switzerland,64,Footwear; gaiters and the like; parts of such articles,372125,25.3336984,51.2295295,46.7985624,8.2319736
2016,2016,Export,Qatar,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,3438294,25.3336984,51.2295295,24.0002488,53.9994829
2016,2016,Export,Qatar,United Kingdom,64,Footwear; gaiters and the like; parts of such articles,2307706,25.3336984,51.2295295,54.7023545,-3.2765753
