yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,94351,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,120689,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,135407229,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,376725,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,56297,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,115242,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,2096443,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,652355,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,139894845,25.3336984,51.2295295,,
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,47951,25.3336984,51.2295295,,
2020,2020,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Oman, Oman,883463,25.3336984,51.2295295,,
