yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,116620,40.7696272,44.6736646,39.89317229901691,61.060280637304274
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,253459,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,50936,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,1,40.7696272,44.6736646,,
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,40,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,15446,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,1882,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,11119,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,72950,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,867005,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,204910,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,612704,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,2236418,40.7696272,44.6736646,,
2012,2012,Import,Armenia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,14721,40.7696272,44.6736646,,
