yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,21
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,117857
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,287220
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,35301
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,127788
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1645
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,421061
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,175343
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2993940
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,560117
2006,2006,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4968044
