yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,984517,,,37.977378106878206,73.97804075806764
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,154158,,,,
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,34430,,,59.36075159783851,25.01346951967388
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,31131,,,10.528384761701911,103.08333472012376
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,81085,,,25.499703063807168,75.5024015339642
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,353627,,,40.12399607988535,20.742583178432696
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,32452,,,6.06272746187266,22.727528470146083
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,3850993,,,26.42921218083572,52.86847103284948
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,277959,,,47.92172048214207,7.866753258497997
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,7842005,,,,
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,30924,,,,
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,11,,,,
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,363866,,,,
2007,2007,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,678054,,,,
