yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1520291,33.87,35.84,-16.85099460447687,133.4130365630627
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1596530,33.87,35.84,37.977378106878206,73.97804075806764
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1899,33.87,35.84,51.67568633314729,27.673469819741847
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,172393,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,250100,33.87,35.84,17.925141963241547,-78.01492950057497
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,982650,33.87,35.84,43.897683433510366,-100.08947125585888
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,881398,33.87,35.84,59.36075159783851,25.01346951967388
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1409816,33.87,35.84,10.528384761701911,103.08333472012376
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,89281,33.87,35.84,25.499703063807168,75.5024015339642
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,2820000,33.87,35.84,40.12399607988535,20.742583178432696
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,10401,33.87,35.84,6.06272746187266,22.727528470146083
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1028544,33.87,35.84,26.42921218083572,52.86847103284948
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,3002186,33.87,35.84,47.92172048214207,7.866753258497997
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,16964119,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,7174,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,35834,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,7697,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,366533,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,2416,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2479156,33.87,35.84,,
2007,2007,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,80879,33.87,35.84,,
