yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Re-Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,401603,25.6242618,42.3528328,,
2006,2006,Re-Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,128438,25.6242618,42.3528328,,
2006,2006,Re-Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,29640,25.6242618,42.3528328,,
2006,2006,Re-Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,243525,25.6242618,42.3528328,,
