yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,84620,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,65367,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,8283,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,69356,35.8885993,14.4476911,19.569604022535763,12.47761721199581
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,31928,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,527948,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,441,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,16793941,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,444890,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,365208,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2003,2003,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,World,World,18805455,35.8885993,14.4476911,,
