yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,460040,31.46,34.26,37.977378106878206,73.97804075806764
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,7150,31.46,34.26,51.67568633314729,27.673469819741847
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,1250,31.46,34.26,,
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,530,31.46,34.26,43.897683433510366,-100.08947125585888
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,2900,31.46,34.26,59.36075159783851,25.01346951967388
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,50,31.46,34.26,10.528384761701911,103.08333472012376
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,23430,31.46,34.26,40.12399607988535,20.742583178432696
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,505870,31.46,34.26,26.42921218083572,52.86847103284948
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,25360,31.46,34.26,47.92172048214207,7.866753258497997
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,2465100,31.46,34.26,,
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Israel, Israel,1347410,31.46,34.26,,
2007,2007,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,450,31.46,34.26,,
