yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,403158,,,51.67568633314729,27.673469819741847
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,247156,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,97138,,,43.897683433510366,-100.08947125585888
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,162817,,,59.36075159783851,25.01346951967388
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,253590,,,25.499703063807168,75.5024015339642
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,76647,,,6.06272746187266,22.727528470146083
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,208858,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,331238,,,26.42921218083572,52.86847103284948
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,202113,,,47.92172048214207,7.866753258497997
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,57021487,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Algeria, Algeria,4054057,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Jordan, Jordan,951911,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Kuwait, Kuwait,7566765,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Lebanon, Lebanon,12588069,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Libya, Libya,2742368,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Mauritania, Mauritania,247228,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Morocco, Morocco,670682,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Qatar, Qatar,344772,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,16074214,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,6405810,,,,
2008,2008,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Yemen, Yemen,1886495,,,,
