yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,33070,25.62,42.35,17.925141963241547,-78.01492950057497
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,79476,25.62,42.35,40.12399607988535,20.742583178432696
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,28536,25.62,42.35,6.06272746187266,22.727528470146083
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,30403,25.62,42.35,,
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,969983,25.62,42.35,,
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,40804,25.62,42.35,,
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,58673,25.62,42.35,,
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,81343,25.62,42.35,,
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,110679,25.62,42.35,,
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,186955,25.62,42.35,,
2016,2016,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,320038,25.62,42.35,,
