yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,208137,25.62,42.35,37.977378106878206,73.97804075806764
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1178496,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,26734,25.62,42.35,6.06272746187266,22.727528470146083
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,144428,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,2873915,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,238049,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,81664,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,31200,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,79344,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,568732,25.62,42.35,,
2017,2017,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,317127,25.62,42.35,,
