yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Export,Algeria,World,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3072053.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2015,2015.0,Export,Algeria,Angola,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",41628.0,,28.0000272,2.9999825,-11.8775768,17.5691241
2015,2015.0,Export,Algeria,Congo,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",34.0,,28.0000272,2.9999825,-2.9814344,23.8222636
2015,2015.0,Export,Algeria,Croatia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",99.0,,28.0000272,2.9999825,45.5643442,17.0118954
2015,2015.0,Export,Algeria,Benin,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6.0,,28.0000272,2.9999825,9.5293472,2.2584408
2015,2015.0,Export,Algeria,France,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2595.0,,28.0000272,2.9999825,46.603354,1.8883335
2015,2015.0,Export,Algeria,Germany,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12.0,,28.0000272,2.9999825,51.1638175,10.4478313
2015,2015.0,Export,Algeria,Ghana,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",453784.0,,28.0000272,2.9999825,8.0300284,-1.0800271
2015,2015.0,Export,Algeria,Côte d'Ivoire,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",64177.0,,28.0000272,2.9999825,7.9897371,-5.5679458
2015,2015.0,Export,Algeria,Rep. of Korea,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",747.0,,28.0000272,2.9999825,,
2015,2015.0,Export,Algeria,Libya,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",948787.0,,28.0000272,2.9999825,26.8234472,18.1236723
2015,2015.0,Export,Algeria,Morocco,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",285949.0,,28.0000272,2.9999825,31.1728205,-7.3362482
2015,2015.0,Export,Algeria,Niger,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",28399.0,,28.0000272,2.9999825,17.7356214,9.3238432
2015,2015.0,Export,Algeria,Nigeria,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",206437.0,,28.0000272,2.9999825,9.6000359,7.9999721
2015,2015.0,Export,Algeria,Russian Federation,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",9444.0,,28.0000272,2.9999825,64.6863136,97.7453061
2015,2015.0,Export,Algeria,Saudi Arabia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",31115.0,,28.0000272,2.9999825,25.6242618,42.3528328
2015,2015.0,Export,Algeria,Senegal,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",36900.0,,28.0000272,2.9999825,14.4750607,-14.4529612
2015,2015.0,Export,Algeria,Sierra Leone,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2437.0,,28.0000272,2.9999825,8.6400349,-11.8400269
2015,2015.0,Export,Algeria,South Africa,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",208627.0,,28.0000272,2.9999825,-28.8166236,24.991639
2015,2015.0,Export,Algeria,Syria,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",22713.0,,28.0000272,2.9999825,34.6401861,39.0494106
2015,2015.0,Export,Algeria,Tunisia,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",726888.0,,28.0000272,2.9999825,33.8439408,9.400138
2015,2015.0,Export,Algeria,United Kingdom,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",899.0,,28.0000272,2.9999825,54.7023545,-3.2765753
2015,2015.0,Export,Algeria,USA,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",376.0,,28.0000272,2.9999825,39.7837304,-100.445882
