yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,676059
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,295104428
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,23215
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,68199
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,250002
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2389578
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1167557
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Polynesia,Oceania,763047
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,27144830
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,15506364
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4014603
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,8374
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,499660
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,2501081
2007,2007,Import,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,World,World,521555209
