yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2010,2010,Export,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,16206
2010,2010,Export,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,8352
2010,2010,Export,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,12937
2010,2010,Export,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,38202
