yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,523060,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,27757994,30.3308401,71.247499,37.977378106878206,73.97804075806764
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,177029,30.3308401,71.247499,51.67568633314729,27.673469819741847
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,122493,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,1860824,30.3308401,71.247499,19.569604022535763,12.47761721199581
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3438628,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,7914977,30.3308401,71.247499,59.36075159783851,25.01346951967388
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,5334866,30.3308401,71.247499,10.528384761701911,103.08333472012376
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,44797,30.3308401,71.247499,25.499703063807168,75.5024015339642
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1081211,30.3308401,71.247499,40.12399607988535,20.742583178432696
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,69318,30.3308401,71.247499,6.06272746187266,22.727528470146083
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1486727,30.3308401,71.247499,26.42921218083572,52.86847103284948
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,6643486,30.3308401,71.247499,47.92172048214207,7.866753258497997
2019,2019,Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,63778823,30.3308401,71.247499,,
