yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,598760,26.82,18.12,37.977378106878206,73.97804075806764
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1251008,26.82,18.12,,
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,207463,26.82,18.12,43.897683433510366,-100.08947125585888
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,205957,26.82,18.12,59.36075159783851,25.01346951967388
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,139576,26.82,18.12,10.528384761701911,103.08333472012376
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1728935,26.82,18.12,40.12399607988535,20.742583178432696
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,2073076,26.82,18.12,,
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1114460,26.82,18.12,26.42921218083572,52.86847103284948
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1358177,26.82,18.12,47.92172048214207,7.866753258497997
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9926052,26.82,18.12,,
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,27823,26.82,18.12,,
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,2117,26.82,18.12,,
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,1099,26.82,18.12,,
2009,2009,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,6731,26.82,18.12,,
