yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,69184,31.17,-7.33,,
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,16211,31.17,-7.33,17.925141963241547,-78.01492950057497
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,8856,31.17,-7.33,43.897683433510366,-100.08947125585888
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,8919,31.17,-7.33,59.36075159783851,25.01346951967388
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,551,31.17,-7.33,40.12399607988535,20.742583178432696
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,168484,31.17,-7.33,6.06272746187266,22.727528470146083
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,228827,31.17,-7.33,,
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,28,31.17,-7.33,26.42921218083572,52.86847103284948
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,73190,31.17,-7.33,47.92172048214207,7.866753258497997
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,709143,31.17,-7.33,,
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,67907,31.17,-7.33,,
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,8080,31.17,-7.33,,
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,43027,31.17,-7.33,,
2006,2006,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,15879,31.17,-7.33,,
