yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,4726,31.1667049,36.941628,37.977378106878206,73.97804075806764
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,64852,31.1667049,36.941628,51.67568633314729,27.673469819741847
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,2031383,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,246206,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,278985,31.1667049,36.941628,59.36075159783851,25.01346951967388
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,99762,31.1667049,36.941628,10.528384761701911,103.08333472012376
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,250,31.1667049,36.941628,25.499703063807168,75.5024015339642
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1702846,31.1667049,36.941628,40.12399607988535,20.742583178432696
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,3198541,31.1667049,36.941628,26.42921218083572,52.86847103284948
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,2239838,31.1667049,36.941628,47.92172048214207,7.866753258497997
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,13202613,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,124079,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Israel, Israel,83271,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,10803,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,78674,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,3542,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,6351,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,159,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,561544,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,State of Palestine, State of Palestine,10924,31.1667049,36.941628,,
2006,2006,Import,Jordan,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,2430202,31.1667049,36.941628,,
