yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,438659
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,4122501
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,76052
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,57446
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,709420
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1989888
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,9646543
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1839166
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,8454015
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3739787
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,33982872
2017,2017,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,66895788
