yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,142,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,3,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,457,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,140098,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,11,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,46543,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,176013,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,12488,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,4551364,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,14093,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,82099,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,273670,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,48992,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,84435,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,137187,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,3505766,34.9823018,33.1451285,,
