yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,9837470,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,96262,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,776370,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,4511557,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,3075929,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1611354,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,11115071,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,4803728,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,27376,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,696106,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,10119,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,1767,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,4361424,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,43497563,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,World,World,238472669,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,9101,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,3074208,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,1124917,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,4123037,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,2834633,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,145531,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,275,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,3161383,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,459681,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,8547,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,123307255,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,9026,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,13604670,25.3336984,51.2295295,,
2010,2010,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,241259,25.3336984,51.2295295,,
