rtTitle,yr,rgDesc,cmdDescE,cmdCode
Comoros,2016,Export,Aluminium and articles thereof,76
Comoros,2016,Export,Apparel and clothing accessories; knitted or crocheted,61
Comoros,2016,Export,Arms and ammunition; parts and accessories thereof,93
Comoros,2016,Export,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
Comoros,2016,Export,Ceramic products,69
Comoros,2016,Export,Chemical products n.e.c.,38
Comoros,2016,Export,"Coffee, tea, mate and spices",9
Comoros,2016,Export,Copper and articles thereof,74
Comoros,2016,Export,Cotton,52
Comoros,2016,Export,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
Comoros,2016,Export,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
Comoros,2016,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",3
Comoros,2016,Export,Footwear; gaiters and the like; parts of such articles,64
Comoros,2016,Export,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
Comoros,2016,Export,Glass and glassware,70
Comoros,2016,Export,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",28
Comoros,2016,Export,Iron and steel,72
Comoros,2016,Export,Iron or steel articles,73
Comoros,2016,Export,Metal; miscellaneous products of base metal,83
Comoros,2016,Export,Miscellaneous manufactured articles,96
Comoros,2016,Export,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
Comoros,2016,Export,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
Comoros,2016,Export,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
Comoros,2016,Export,Plastics and articles thereof,39
Comoros,2016,Export,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
Comoros,2016,Export,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
Comoros,2016,Export,Rubber and articles thereof,40
Comoros,2016,Export,"Ships, boats and floating structures",89
Comoros,2016,Export,Sugars and sugar confectionery,17
Comoros,2016,Export,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",32
Comoros,2016,Export,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",63
Comoros,2016,Export,Tobacco and manufactured tobacco substitutes,24
Comoros,2016,Export,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",82
Comoros,2016,Export,"Toys, games and sports requisites; parts and accessories thereof",95
Comoros,2016,Export,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87
Comoros,2016,Export,Wood and articles of wood; wood charcoal,44
Comoros,2016,Import,"Aircraft, spacecraft and parts thereof",88
Comoros,2016,Import,Albuminoidal substances; modified starches; glues; enzymes,35
Comoros,2016,Import,Aluminium and articles thereof,76
Comoros,2016,Import,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15
Comoros,2016,Import,Animals; live,1
Comoros,2016,Import,Apparel and clothing accessories; knitted or crocheted,61
Comoros,2016,Import,Apparel and clothing accessories; not knitted or crocheted,62
Comoros,2016,Import,Arms and ammunition; parts and accessories thereof,93
Comoros,2016,Import,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
Comoros,2016,Import,"Beverages, spirits and vinegar",22
Comoros,2016,Import,Carpets and other textile floor coverings,57
Comoros,2016,Import,Ceramic products,69
Comoros,2016,Import,Cereals,10
Comoros,2016,Import,Chemical products n.e.c.,38
Comoros,2016,Import,Clocks and watches and parts thereof,91
Comoros,2016,Import,Cocoa and cocoa preparations,18
Comoros,2016,Import,"Coffee, tea, mate and spices",9
Comoros,2016,Import,Copper and articles thereof,74
Comoros,2016,Import,Cork and articles of cork,45
Comoros,2016,Import,Cotton,52
Comoros,2016,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4
Comoros,2016,Import,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
Comoros,2016,Import,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
Comoros,2016,Import,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36
Comoros,2016,Import,Fabrics; knitted or crocheted,60
Comoros,2016,Import,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",58
Comoros,2016,Import,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
Comoros,2016,Import,Fertilizers,31
Comoros,2016,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",3
Comoros,2016,Import,"Food industries, residues and wastes thereof; prepared animal fodder",23
Comoros,2016,Import,Footwear; gaiters and the like; parts of such articles,64
