yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,374562
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,3974
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,36374
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,49563
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,7134
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,305493
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,37455
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3918
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,851928
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,135094
2006,2006,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,5078515
