yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2006,2006.0,Re-Export,Jordan,World,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,2735294.0,,31.1667049,36.941628,-36.8535712,174.7456809
2006,2006.0,Re-Export,Jordan,Cyprus,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,382.0,,31.1667049,36.941628,34.9823018,33.1451285
2006,2006.0,Re-Export,Jordan,Iran,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1652.0,,31.1667049,36.941628,32.6475314,54.5643516
2006,2006.0,Re-Export,Jordan,Iraq,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,45517.0,,31.1667049,36.941628,33.0955793,44.1749775
2006,2006.0,Re-Export,Jordan,Israel,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,431.0,,31.1667049,36.941628,30.8124247,34.8594762
2006,2006.0,Re-Export,Jordan,Italy,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,37601.0,,31.1667049,36.941628,42.6384261,12.674297
2006,2006.0,Re-Export,Jordan,Rep. of Korea,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,7052.0,,31.1667049,36.941628,,
2006,2006.0,Re-Export,Jordan,Kuwait,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,45823.0,,31.1667049,36.941628,29.2733964,47.4979476
2006,2006.0,Re-Export,Jordan,Lebanon,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,353.0,,31.1667049,36.941628,33.8750629,35.843409
2006,2006.0,Re-Export,Jordan,Libya,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,179419.0,,31.1667049,36.941628,26.8234472,18.1236723
2006,2006.0,Re-Export,Jordan,Pakistan,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1177.0,,31.1667049,36.941628,30.3308401,71.247499
2006,2006.0,Re-Export,Jordan,Qatar,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,723.0,,31.1667049,36.941628,25.3336984,51.2295295
2006,2006.0,Re-Export,Jordan,Saudi Arabia,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,4231.0,,31.1667049,36.941628,25.6242618,42.3528328
2006,2006.0,Re-Export,Jordan,Sweden,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,3160.0,,31.1667049,36.941628,59.6749712,14.5208584
2006,2006.0,Re-Export,Jordan,United Arab Emirates,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,10226.0,,31.1667049,36.941628,24.0002488,53.9994829
2006,2006.0,Re-Export,Jordan,United Kingdom,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,9045.0,,31.1667049,36.941628,54.7023545,-3.2765753
2006,2006.0,Re-Export,Jordan,Free Zones,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,2373624.0,,31.1667049,36.941628,5.57675525,-0.1653113957934536
2006,2006.0,Re-Export,Jordan,USA,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,14877.0,,31.1667049,36.941628,39.7837304,-100.445882
