yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,313
2005,2005,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1840
2005,2005,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,21047
2005,2005,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,153590
