yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,1,Animals; live,379015,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,France,1,Animals; live,6685,,,46.603354,1.8883335
2016,2016,Import,Comoros,Madagascar,1,Animals; live,16265,,,-18.9249604,46.4416422
2016,2016,Import,Comoros,United Rep. of Tanzania,1,Animals; live,356064,,,,
2018,2018,Import,Comoros,World,1,Animals; live,509060,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,France,1,Animals; live,62,,,46.603354,1.8883335
2018,2018,Import,Comoros,Madagascar,1,Animals; live,39460,,,-18.9249604,46.4416422
2018,2018,Import,Comoros,Rep. of Moldova,1,Animals; live,373,,,,
2018,2018,Import,Comoros,United Rep. of Tanzania,1,Animals; live,469164,,,,
2019,2019,Import,Comoros,World,1,Animals; live,423856,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,Kenya,1,Animals; live,6042,,,1.4419683,38.4313975
2019,2019,Import,Comoros,Madagascar,1,Animals; live,5522,,,-18.9249604,46.4416422
2019,2019,Import,Comoros,South Africa,1,Animals; live,1219,,,-28.8166236,24.991639
2019,2019,Import,Comoros,United Rep. of Tanzania,1,Animals; live,411071,,,,
2020,2020,Import,Comoros,World,1,Animals; live,136857,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,China,1,Animals; live,20,,,35.000074,104.999927
2020,2020,Import,Comoros,South Africa,1,Animals; live,2157,,,-28.8166236,24.991639
2020,2020,Import,Comoros,United Rep. of Tanzania,1,Animals; live,134680,,,,
