yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,388944,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,2496708,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,125222,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,358,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,268847,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,38811,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,1968743,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,37091,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,5584854,32.3293809,-83.1137366,,
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Armenia, Armenia,39943,32.3293809,-83.1137366,,
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,24101,32.3293809,-83.1137366,,
2010,2010,Import,Georgia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,19694,32.3293809,-83.1137366,,
