yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,17289000,33.0955793,44.1749775,-16.85099460447687,133.4130365630627
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,43020,33.0955793,44.1749775,37.977378106878206,73.97804075806764
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,45902,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,600,33.0955793,44.1749775,17.925141963241547,-78.01492950057497
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,35013125,33.0955793,44.1749775,43.897683433510366,-100.08947125585888
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,62100,33.0955793,44.1749775,10.528384761701911,103.08333472012376
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,499627,33.0955793,44.1749775,25.499703063807168,75.5024015339642
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1000,33.0955793,44.1749775,40.12399607988535,20.742583178432696
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,331418,33.0955793,44.1749775,26.42921218083572,52.86847103284948
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,80800,33.0955793,44.1749775,47.92172048214207,7.866753258497997
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin,World,World,60036164,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,8836,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,1060318,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,1084649,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,6575,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,3325,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,1460,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,45600,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,2266099,33.0955793,44.1749775,,
2014,2014,Import,Iraq,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,1806222,33.0955793,44.1749775,,
