yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,2737,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,3574587,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,104,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,2851,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,146793,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,118939,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,20517,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,202947,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,206867,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,177513,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,241693,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,5060765,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Georgia, Georgia,306,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Lebanon, Lebanon,5601,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Morocco, Morocco,1157,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Oman, Oman,3191,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,7114,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Saudi Arabia, Saudi Arabia,10327,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,142338,26.1551249,50.5344606,,
