yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,483,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,150,21.0000287,57.0036901,,
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,23255,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,13843,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,8814,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,26166,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1443828,21.0000287,57.0036901,,
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,109708,21.0000287,57.0036901,,
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,774709,21.0000287,57.0036901,,
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,165087,21.0000287,57.0036901,,
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,317602,21.0000287,57.0036901,,
2020,2020,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,4005,21.0000287,57.0036901,,
