yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,908,33.87,35.84,-16.85099460447687,133.4130365630627
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,1890,33.87,35.84,51.67568633314729,27.673469819741847
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,24859,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,15611,33.87,35.84,43.897683433510366,-100.08947125585888
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,8943,33.87,35.84,59.36075159783851,25.01346951967388
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,5152,33.87,35.84,10.528384761701911,103.08333472012376
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,13343,33.87,35.84,25.499703063807168,75.5024015339642
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,265,33.87,35.84,40.12399607988535,20.742583178432696
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,101217,33.87,35.84,6.06272746187266,22.727528470146083
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,649,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,623299,33.87,35.84,26.42921218083572,52.86847103284948
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,209,33.87,35.84,47.92172048214207,7.866753258497997
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,999617,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Bahrain, Bahrain,16869,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Cyprus, Cyprus,15,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Georgia, Georgia,756,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Iraq, Iraq,20726,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,24817,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Kuwait, Kuwait,49894,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Libya, Libya,918,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Morocco, Morocco,333,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Oman, Oman,401,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,189,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Qatar, Qatar,26141,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Saudi Arabia, Saudi Arabia,3682,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,57575,33.87,35.84,,
2007,2007,Export,Lebanon,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Yemen, Yemen,469,33.87,35.84,,
