yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,89907,31.17,-7.33,37.977378106878206,73.97804075806764
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,142529528,31.17,-7.33,51.67568633314729,27.673469819741847
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1381504,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,11692,31.17,-7.33,17.925141963241547,-78.01492950057497
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,5439114,31.17,-7.33,43.897683433510366,-100.08947125585888
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,4481618,31.17,-7.33,59.36075159783851,25.01346951967388
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,83,31.17,-7.33,10.528384761701911,103.08333472012376
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,105023,31.17,-7.33,25.499703063807168,75.5024015339642
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,26891780,31.17,-7.33,40.12399607988535,20.742583178432696
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,340901,31.17,-7.33,6.06272746187266,22.727528470146083
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,86418,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,6033563,31.17,-7.33,26.42921218083572,52.86847103284948
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,42562441,31.17,-7.33,47.92172048214207,7.866753258497997
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,346205395,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,6841,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,6143,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,12556076,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,23107,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,80401035,31.17,-7.33,,
2005,2005,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,23119798,31.17,-7.33,,
