yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,30759476,31.17,-7.33,-16.85099460447687,133.4130365630627
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,10844696,31.17,-7.33,37.977378106878206,73.97804075806764
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,23035175,31.17,-7.33,51.67568633314729,27.673469819741847
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,378148,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,57771713,31.17,-7.33,17.925141963241547,-78.01492950057497
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,82942005,31.17,-7.33,43.897683433510366,-100.08947125585888
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,4706892,31.17,-7.33,59.36075159783851,25.01346951967388
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,17245201,31.17,-7.33,10.528384761701911,103.08333472012376
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,886708,31.17,-7.33,25.499703063807168,75.5024015339642
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,83447650,31.17,-7.33,40.12399607988535,20.742583178432696
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,9680114,31.17,-7.33,6.06272746187266,22.727528470146083
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,2343950,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,52573689,31.17,-7.33,47.92172048214207,7.866753258497997
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,421468497,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,307973,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,3311,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,54039,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,2375795,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,7410280,31.17,-7.33,,
2002,2002,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,187848,31.17,-7.33,,
