yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,159,,,-16.85099460447687,133.4130365630627
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,591,,,39.89317229901691,61.060280637304274
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1660708,,,37.977378106878206,73.97804075806764
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,152,,,51.67568633314729,27.673469819741847
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,428605,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,5572,,,17.925141963241547,-78.01492950057497
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,39361,,,43.897683433510366,-100.08947125585888
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,145897,,,59.36075159783851,25.01346951967388
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,325074,,,10.528384761701911,103.08333472012376
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1787548,,,40.12399607988535,20.742583178432696
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,24970,,,6.06272746187266,22.727528470146083
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,434,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,246919,,,26.42921218083572,52.86847103284948
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,545715,,,47.92172048214207,7.866753258497997
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7993345,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,828,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,312007,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,433,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,14601,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,4750,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,763404,,,,
2008,2008,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,574255,,,,
