yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1681,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,440021,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,15727,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,446,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,48192,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,6142,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,652,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,18264,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,27287,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,257607,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,64024,29.2733964,47.4979476,,
