yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,263,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,35411,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,17495,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,7835,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1543651,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,5314975,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,6940688,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,714785,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,39242,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,16222435,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,973704,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,187528,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,188253,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,95228,34.9823018,33.1451285,,
