rtTitle,Subregion,rgDesc,TradeValue
Jordan,Afghanistan,Export,46000
Jordan,Afghanistan,Import,1237166
Jordan,Algeria,Export,2778466
Jordan,Algeria,Import,1597807
Jordan,Algeria,Re-Export,354905
Jordan,Azerbaijan,Export,486491
Jordan,Azerbaijan,Re-Export,476772
Jordan,Bahrain,Export,14487252
Jordan,Bahrain,Import,17051335
Jordan,Bahrain,Re-Export,1487318
Jordan,Cyprus,Export,1243602
Jordan,Cyprus,Import,4599196
Jordan,Cyprus,Re-Export,698230
Jordan,Djibouti,Export,231880
Jordan,Djibouti,Re-Export,56417
Jordan,Iraq,Export,156788226
Jordan,Iraq,Import,513774569
Jordan,Iraq,Re-Export,21739974
Jordan,Israel,Export,22370595
Jordan,Israel,Import,29282608
Jordan,Israel,Re-Export,6423972
Jordan,Kuwait,Export,47889976
Jordan,Kuwait,Import,781909
Jordan,Kuwait,Re-Export,561455
Jordan,Lebanon,Export,41331659
Jordan,Lebanon,Import,30905791
Jordan,Lebanon,Re-Export,6241944
Jordan,Libya,Export,8884118
Jordan,Libya,Import,909371
Jordan,Libya,Re-Export,308182
Jordan,Malta,Export,51898
Jordan,Malta,Import,290976
Jordan,Mauritania,Export,15514
Jordan,Morocco,Export,2618742
Jordan,Morocco,Import,5289321
Jordan,Morocco,Re-Export,27502
Jordan,Oman,Export,5131493
Jordan,Oman,Import,9420445
Jordan,Oman,Re-Export,576460
Jordan,Pakistan,Export,16674643
Jordan,Pakistan,Import,3280606
Jordan,Pakistan,Re-Export,184623
Jordan,Qatar,Export,30674164
Jordan,Qatar,Import,11003019
Jordan,Qatar,Re-Export,2669402
Jordan,Saudi Arabia,Export,166266075
Jordan,Saudi Arabia,Import,137984347
Jordan,Saudi Arabia,Re-Export,14133095
Jordan,United Arab Emirates,Export,85439671
Jordan,United Arab Emirates,Import,24445628
Jordan,United Arab Emirates,Re-Export,14671032
Jordan,Yemen,Export,16223569
Jordan,Yemen,Import,7015019
Jordan,Yemen,Re-Export,1025868
