yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,2339,28.0000272,2.9999825,-16.85099460447687,133.4130365630627
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,258310,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,3466968,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,16641043,28.0000272,2.9999825,,
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,137767,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1343221,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1861592,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1742,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,38531,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,24306993,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,304356,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,27295286,28.0000272,2.9999825,,
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,12526709,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,15435853,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,World,World,105691836,28.0000272,2.9999825,,
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,36663,28.0000272,2.9999825,,
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,1409590,28.0000272,2.9999825,,
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,232,28.0000272,2.9999825,,
2004,2004,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,300,28.0000272,2.9999825,,
