yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Re-Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,451049,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2007,2007,Re-Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials,World,World,461886,16.3471243,47.8915271,,
2007,2007,Re-Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,8826,16.3471243,47.8915271,,
2007,2007,Re-Export,Yemen,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,2010,16.3471243,47.8915271,,
