yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,36,20.2540382,-9.2399263,-16.85099460447687,133.4130365630627
2010,2010,Export,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,201,20.2540382,-9.2399263,43.897683433510366,-100.08947125585888
2010,2010,Export,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,390260,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2010,2010,Export,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,430592,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2010,2010,Export,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,348,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2010,2010,Export,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,World,World,822061,20.2540382,-9.2399263,,
2010,2010,Export,Mauritania,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,625,20.2540382,-9.2399263,,
