yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,87496,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1685254,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,12889,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,61094,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,284576,29.2733964,47.4979476,19.569604022535763,12.47761721199581
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3202185,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,758293,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,447492,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,7891,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1840535,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,828,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,62162,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2928577,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2007,2007,Import,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,15856214,29.2733964,47.4979476,,
