yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1400,31.46,34.26,-16.85099460447687,133.4130365630627
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,398110,31.46,34.26,37.977378106878206,73.97804075806764
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,26080,31.46,34.26,,
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,17720,31.46,34.26,43.897683433510366,-100.08947125585888
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,52220,31.46,34.26,59.36075159783851,25.01346951967388
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1072170,31.46,34.26,40.12399607988535,20.742583178432696
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,58850,31.46,34.26,26.42921218083572,52.86847103284948
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,205050,31.46,34.26,47.92172048214207,7.866753258497997
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3863150,31.46,34.26,,
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,1665270,31.46,34.26,,
2007,2007,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,351100,31.46,34.26,,
