yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,3000,33.87,35.84,37.977378106878206,73.97804075806764
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,16000,33.87,35.84,51.67568633314729,27.673469819741847
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,94000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,41000,33.87,35.84,17.925141963241547,-78.01492950057497
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,47000,33.87,35.84,43.897683433510366,-100.08947125585888
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,62000,33.87,35.84,59.36075159783851,25.01346951967388
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2000,33.87,35.84,40.12399607988535,20.742583178432696
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,712000,33.87,35.84,6.06272746187266,22.727528470146083
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,34000,33.87,35.84,26.42921218083572,52.86847103284948
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,148000,33.87,35.84,47.92172048214207,7.866753258497997
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,3756000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,169000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,932000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,200000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,805000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,1000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,1000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,1000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,41000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,101000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,67000,33.87,35.84,,
2004,2004,Export,Lebanon,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,2000,33.87,35.84,,
