yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Export,Bahrain,World,64.0,Footwear; gaiters and the like; parts of such articles,159279126.0,,26.1551249,50.5344606,-36.8535712,174.7456809
2015,2015.0,Export,Bahrain,China,64.0,Footwear; gaiters and the like; parts of such articles,193031.0,,26.1551249,50.5344606,35.000074,104.999927
2015,2015.0,Export,Bahrain,Germany,64.0,Footwear; gaiters and the like; parts of such articles,134814.0,,26.1551249,50.5344606,51.1638175,10.4478313
2015,2015.0,Export,Bahrain,Greece,64.0,Footwear; gaiters and the like; parts of such articles,383.0,,26.1551249,50.5344606,38.9953683,21.9877132
2015,2015.0,Export,Bahrain,Italy,64.0,Footwear; gaiters and the like; parts of such articles,769.0,,26.1551249,50.5344606,42.6384261,12.674297
2015,2015.0,Export,Bahrain,Jordan,64.0,Footwear; gaiters and the like; parts of such articles,691.0,,26.1551249,50.5344606,31.1667049,36.941628
2015,2015.0,Export,Bahrain,Kuwait,64.0,Footwear; gaiters and the like; parts of such articles,1054064.0,,26.1551249,50.5344606,29.2733964,47.4979476
2015,2015.0,Export,Bahrain,Morocco,64.0,Footwear; gaiters and the like; parts of such articles,89855.0,,26.1551249,50.5344606,31.1728205,-7.3362482
2015,2015.0,Export,Bahrain,Oman,64.0,Footwear; gaiters and the like; parts of such articles,1529.0,,26.1551249,50.5344606,21.0000287,57.0036901
2015,2015.0,Export,Bahrain,Pakistan,64.0,Footwear; gaiters and the like; parts of such articles,7199.0,,26.1551249,50.5344606,30.3308401,71.247499
2015,2015.0,Export,Bahrain,Qatar,64.0,Footwear; gaiters and the like; parts of such articles,218570.0,,26.1551249,50.5344606,25.3336984,51.2295295
2015,2015.0,Export,Bahrain,Saudi Arabia,64.0,Footwear; gaiters and the like; parts of such articles,155356166.0,,26.1551249,50.5344606,25.6242618,42.3528328
2015,2015.0,Export,Bahrain,Singapore,64.0,Footwear; gaiters and the like; parts of such articles,131.0,,26.1551249,50.5344606,1.357107,103.8194992
2015,2015.0,Export,Bahrain,Spain,64.0,Footwear; gaiters and the like; parts of such articles,6439.0,,26.1551249,50.5344606,39.3260685,-4.8379791
2015,2015.0,Export,Bahrain,United Arab Emirates,64.0,Footwear; gaiters and the like; parts of such articles,2158310.0,,26.1551249,50.5344606,24.0002488,53.9994829
2015,2015.0,Export,Bahrain,Turkey,64.0,Footwear; gaiters and the like; parts of such articles,26439.0,,26.1551249,50.5344606,38.9597594,34.9249653
2015,2015.0,Export,Bahrain,Egypt,64.0,Footwear; gaiters and the like; parts of such articles,489.0,,26.1551249,50.5344606,26.2540493,29.2675469
2015,2015.0,Export,Bahrain,United Kingdom,64.0,Footwear; gaiters and the like; parts of such articles,30239.0,,26.1551249,50.5344606,54.7023545,-3.2765753
