yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,130714,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,167552,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,24730,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,9657,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,2850685,34.9823018,33.1451285,19.569604022535763,12.47761721199581
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,124622,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,383570,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,17775,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4301455,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,718,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,145282,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,508473,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2005,2005,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,10211256,34.9823018,33.1451285,,
