yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,6467,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,216268,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,279179,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,100,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,213936,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,378810,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,17247,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,18924,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,182734,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,24351,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,689500,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3816012,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,93259,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,74,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,19465,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,23291,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,12410,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,961517,16.3471243,47.8915271,,
2007,2007,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,142174,16.3471243,47.8915271,,
