yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2014,2014,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,384
2014,2014,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,798
2014,2014,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,70027
