yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,995485,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,4164179,30.3308401,71.247499,37.977378106878206,73.97804075806764
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,19932,30.3308401,71.247499,51.67568633314729,27.673469819741847
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,2026668,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,87179,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,7722382,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1944350,30.3308401,71.247499,59.36075159783851,25.01346951967388
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1407133,30.3308401,71.247499,10.528384761701911,103.08333472012376
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,5648833,30.3308401,71.247499,25.499703063807168,75.5024015339642
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,1856991,30.3308401,71.247499,40.12399607988535,20.742583178432696
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,912865,30.3308401,71.247499,6.06272746187266,22.727528470146083
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,410861,30.3308401,71.247499,26.42921218083572,52.86847103284948
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,3352754,30.3308401,71.247499,47.92172048214207,7.866753258497997
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,51126397,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Afghanistan, Afghanistan,400559,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,109382,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,4106578,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Morocco, Morocco,12388719,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,416452,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,106355,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,714137,30.3308401,71.247499,,
2005,2005,Import,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,1992835,30.3308401,71.247499,,
