yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1125479,,,37.977378106878206,73.97804075806764
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1443,,,51.67568633314729,27.673469819741847
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,98416,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,79519,,,17.925141963241547,-78.01492950057497
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,23055,,,43.897683433510366,-100.08947125585888
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,191503,,,59.36075159783851,25.01346951967388
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,39060,,,10.528384761701911,103.08333472012376
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,893428,,,40.12399607988535,20.742583178432696
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,8498,,,6.06272746187266,22.727528470146083
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,111,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,98707,,,26.42921218083572,52.86847103284948
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,731707,,,47.92172048214207,7.866753258497997
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5796995,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,696,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,88979,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,238,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,3791,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,300,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,363054,,,,
2009,2009,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,806707,,,,
