yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1998,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,483248,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,17724,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,14352,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,152882,16.3471243,47.8915271,19.569604022535763,12.47761721199581
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,260359,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,310679,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,18650,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,25440,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,221189,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,54335,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,199411,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2008,2008,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3825704,16.3471243,47.8915271,,
