yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,56852,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,3499737,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,46976,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,473233,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,502593,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,87280,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,41905,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,730002,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,127050,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,484177,25.6242618,42.3528328,,
2005,2005,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,884276,25.6242618,42.3528328,,
