yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,5768,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1185535,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,9648,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,92244,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3460841,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,681775,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,404805,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1950397,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,35175,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2688902,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,25976161,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,3094,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,26,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,15339,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,12795,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,16143,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,62085,21.0000287,57.0036901,,
2014,2014,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,9482800,21.0000287,57.0036901,,
