yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,260755,,,37.977378106878206,73.97804075806764
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,736550,,,51.67568633314729,27.673469819741847
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,1550694,,,17.925141963241547,-78.01492950057497
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,69983,,,19.569604022535763,12.47761721199581
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,310,,,43.897683433510366,-100.08947125585888
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,832392,,,59.36075159783851,25.01346951967388
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,297081,,,10.528384761701911,103.08333472012376
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,192044,,,25.499703063807168,75.5024015339642
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,184354,,,40.12399607988535,20.742583178432696
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,16353679,,,26.42921218083572,52.86847103284948
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,878676,,,47.92172048214207,7.866753258497997
2008,2008,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,24483680,,,,
