yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Export,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,215160,31.46242095,34.262716572130714,,
2015,2015,Export,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,192461,31.46242095,34.262716572130714,,
2015,2015,Export,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,22699,31.46242095,34.262716572130714,,
