yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1455077,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1817842,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1463391,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1594336,,,-36.8535712,174.7456809
2016,2016,Import,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,265600721,,,-36.8535712,174.7456809
2018,2018,Import,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,292409595,,,-36.8535712,174.7456809
2019,2019,Import,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,290532827,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,228710328,,,-36.8535712,174.7456809
2016,2016,Import,Oman,World,64,Footwear; gaiters and the like; parts of such articles,65124711,,,-36.8535712,174.7456809
2017,2017,Import,Oman,World,64,Footwear; gaiters and the like; parts of such articles,85851048,,,-36.8535712,174.7456809
2018,2018,Import,Oman,World,64,Footwear; gaiters and the like; parts of such articles,100128924,,,-36.8535712,174.7456809
2019,2019,Import,Oman,World,64,Footwear; gaiters and the like; parts of such articles,99836550,,,-36.8535712,174.7456809
2020,2020,Import,Oman,World,64,Footwear; gaiters and the like; parts of such articles,76680892,,,-36.8535712,174.7456809
2021,2021,Import,Oman,World,64,Footwear; gaiters and the like; parts of such articles,103142135,,,-36.8535712,174.7456809
2016,2016,Import,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,212829672,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Import,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,224231360,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Import,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,261743989,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Import,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,257585550,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Import,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,189583788,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,240728594,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,852829332,,,-36.8535712,174.7456809
2018,2018,Import,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,747973398,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,916275553,,,-36.8535712,174.7456809
2020,2020,Import,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,626426064,,,-36.8535712,174.7456809
2017,2017,Import,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,688605348,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,673571918,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Import,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,539194953,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Import,Turkey,World,64,Footwear; gaiters and the like; parts of such articles,587849383,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Yemen,World,64,Footwear; gaiters and the like; parts of such articles,21332540,,,-36.8535712,174.7456809
2019,2019,Import,Yemen,World,64,Footwear; gaiters and the like; parts of such articles,30938361,,,-36.8535712,174.7456809
